%    µm         	nN
   5.292	   0.021
   5.284	   0.021
   5.276	   0.021
   5.268	   0.020
   5.261	   0.020
   5.253	   0.020
   5.245	   0.019
   5.237	   0.019
   5.229	   0.019
   5.221	   0.018
   5.214	   0.018
   5.206	   0.018
   5.198	   0.017
   5.190	   0.017
   5.182	   0.017
   5.174	   0.016
   5.167	   0.016
   5.159	   0.015
   5.151	   0.015
   5.143	   0.015
   5.135	   0.014
   5.127	   0.014
   5.120	   0.014
   5.112	   0.014
   5.104	   0.013
   5.096	   0.013
   5.088	   0.013
   5.080	   0.013
   5.073	   0.013
   5.065	   0.013
   5.057	   0.013
   5.049	   0.014
   5.041	   0.013
   5.033	   0.013
   5.026	   0.013
   5.018	   0.014
   5.010	   0.014
   5.002	   0.014
   4.994	   0.014
   4.986	   0.014
   4.979	   0.014
   4.971	   0.014
   4.963	   0.014
   4.955	   0.014
   4.947	   0.014
   4.939	   0.014
   4.932	   0.014
   4.924	   0.014
   4.916	   0.014
   4.908	   0.014
   4.900	   0.014
   4.892	   0.014
   4.885	   0.014
   4.877	   0.014
   4.869	   0.014
   4.861	   0.013
   4.853	   0.013
   4.845	   0.013
   4.838	   0.013
   4.830	   0.013
   4.822	   0.013
   4.814	   0.013
   4.806	   0.013
   4.798	   0.013
   4.791	   0.013
   4.783	   0.013
   4.775	   0.013
   4.767	   0.013
   4.759	   0.013
   4.751	   0.013
   4.744	   0.013
   4.736	   0.013
   4.728	   0.013
   4.720	   0.013
   4.712	   0.013
   4.704	   0.013
   4.697	   0.013
   4.689	   0.013
   4.681	   0.012
   4.673	   0.012
   4.665	   0.012
   4.658	   0.012
   4.650	   0.012
   4.642	   0.012
   4.634	   0.011
   4.626	   0.011
   4.618	   0.011
   4.610	   0.010
   4.603	   0.010
   4.595	   0.010
   4.587	   0.010
   4.579	   0.010
   4.571	   0.010
   4.564	   0.010
   4.556	   0.010
   4.548	   0.009
   4.540	   0.009
   4.532	   0.009
   4.524	   0.009
   4.517	   0.009
   4.509	   0.009
   4.501	   0.009
   4.493	   0.009
   4.485	   0.009
   4.477	   0.009
   4.470	   0.009
   4.462	   0.009
   4.454	   0.009
   4.446	   0.009
   4.438	   0.009
   4.430	   0.009
   4.423	   0.009
   4.415	   0.009
   4.407	   0.008
   4.399	   0.008
   4.391	   0.008
   4.383	   0.008
   4.376	   0.008
   4.368	   0.007
   4.360	   0.007
   4.352	   0.007
   4.344	   0.007
   4.336	   0.007
   4.329	   0.007
   4.321	   0.007
   4.313	   0.006
   4.305	   0.006
   4.297	   0.006
   4.289	   0.006
   4.282	   0.006
   4.274	   0.006
   4.266	   0.006
   4.258	   0.006
   4.250	   0.006
   4.242	   0.006
   4.235	   0.006
   4.227	   0.006
   4.219	   0.006
   4.211	   0.005
   4.203	   0.005
   4.195	   0.005
   4.188	   0.005
   4.180	   0.005
   4.172	   0.005
   4.164	   0.004
   4.156	   0.004
   4.148	   0.004
   4.141	   0.003
   4.133	   0.003
   4.125	   0.003
   4.117	   0.002
   4.109	   0.002
   4.101	   0.002
   4.094	   0.002
   4.086	   0.002
   4.078	   0.001
   4.070	   0.001
   4.062	   0.001
   4.054	   0.001
   4.047	   0.002
   4.039	   0.001
   4.031	   0.001
   4.023	   0.001
   4.015	   0.001
   4.007	   0.001
   4.000	   0.001
   3.992	   0.001
   3.984	   0.001
   3.976	   0.001
   3.968	   0.001
   3.960	   0.001
   3.953	   0.001
   3.945	   0.001
   3.937	   0.001
   3.929	   0.002
   3.921	   0.002
   3.913	   0.002
   3.906	   0.002
   3.898	   0.002
   3.890	   0.002
   3.882	   0.003
   3.874	   0.003
   3.866	   0.003
   3.859	   0.004
   3.851	   0.004
   3.843	   0.005
   3.835	   0.005
   3.827	   0.005
   3.820	   0.006
   3.812	   0.006
   3.804	   0.006
   3.796	   0.006
   3.788	   0.007
   3.780	   0.007
   3.773	   0.007
   3.765	   0.007
   3.757	   0.007
   3.749	   0.007
   3.741	   0.007
   3.733	   0.007
   3.726	   0.007
   3.718	   0.007
   3.710	   0.006
   3.702	   0.006
   3.694	   0.006
   3.686	   0.006
   3.679	   0.005
   3.671	   0.005
   3.663	   0.005
   3.655	   0.004
   3.647	   0.004
   3.639	   0.004
   3.632	   0.004
   3.624	   0.003
   3.616	   0.003
   3.608	   0.003
   3.600	   0.003
   3.592	   0.003
   3.585	   0.002
   3.577	   0.002
   3.569	   0.002
   3.561	   0.002
   3.553	   0.002
   3.545	   0.002
   3.538	   0.002
   3.530	   0.002
   3.522	   0.002
   3.514	   0.002
   3.506	   0.002
   3.498	   0.002
   3.491	   0.001
   3.483	   0.001
   3.475	   0.001
   3.467	   0.001
   3.459	   0.001
   3.451	   0.001
   3.444	   0.001
   3.436	   0.001
   3.428	   0.000
   3.420	   0.000
   3.412	   0.000
   3.404	  -0.000
   3.397	  -0.000
   3.389	  -0.001
   3.381	  -0.001
   3.373	  -0.001
   3.365	  -0.002
   3.357	  -0.002
   3.350	  -0.002
   3.342	  -0.002
   3.334	  -0.002
   3.326	  -0.002
   3.318	  -0.002
   3.310	  -0.002
   3.303	  -0.003
   3.295	  -0.003
   3.287	  -0.003
   3.279	  -0.003
   3.271	  -0.004
   3.263	  -0.004
   3.256	  -0.004
   3.248	  -0.005
   3.240	  -0.005
   3.232	  -0.005
   3.224	  -0.006
   3.216	  -0.006
   3.209	  -0.006
   3.201	  -0.006
   3.193	  -0.006
   3.185	  -0.007
   3.177	  -0.007
   3.169	  -0.008
   3.162	  -0.008
   3.154	  -0.009
   3.146	  -0.009
   3.138	  -0.009
   3.130	  -0.009
   3.122	  -0.009
   3.115	  -0.010
   3.107	  -0.010
   3.099	  -0.010
   3.091	  -0.010
   3.083	  -0.010
   3.075	  -0.011
   3.068	  -0.011
   3.060	  -0.011
   3.052	  -0.011
   3.044	  -0.012
   3.036	  -0.012
   3.028	  -0.012
   3.021	  -0.012
   3.013	  -0.012
   3.005	  -0.012
   2.997	  -0.013
   2.989	  -0.013
   2.981	  -0.013
   2.974	  -0.013
   2.966	  -0.014
   2.958	  -0.014
   2.950	  -0.014
   2.942	  -0.014
   2.934	  -0.014
   2.927	  -0.015
   2.919	  -0.015
   2.911	  -0.015
   2.903	  -0.016
   2.895	  -0.016
   2.887	  -0.016
   2.880	  -0.016
   2.872	  -0.017
   2.864	  -0.017
   2.856	  -0.017
   2.848	  -0.018
   2.840	  -0.019
   2.833	  -0.019
   2.825	  -0.019
   2.817	  -0.020
   2.809	  -0.020
   2.801	  -0.021
   2.793	  -0.021
   2.786	  -0.021
   2.778	  -0.022
   2.770	  -0.022
   2.762	  -0.022
   2.754	  -0.022
   2.746	  -0.023
   2.739	  -0.023
   2.731	  -0.023
   2.723	  -0.023
   2.715	  -0.023
   2.707	  -0.023
   2.699	  -0.024
   2.692	  -0.024
   2.684	  -0.023
   2.676	  -0.023
   2.668	  -0.023
   2.660	  -0.023
   2.652	  -0.023
   2.645	  -0.023
   2.637	  -0.022
   2.629	  -0.022
   2.621	  -0.022
   2.613	  -0.022
   2.605	  -0.021
   2.598	  -0.021
   2.590	  -0.020
   2.582	  -0.020
   2.574	  -0.019
   2.566	  -0.019
   2.558	  -0.018
   2.551	  -0.017
   2.543	  -0.016
   2.535	  -0.016
   2.527	  -0.015
   2.519	  -0.015
   2.512	  -0.014
   2.504	  -0.013
   2.496	  -0.013
   2.488	  -0.012
   2.480	  -0.012
   2.472	  -0.011
   2.465	  -0.011
   2.457	  -0.010
   2.449	  -0.010
   2.441	  -0.010
   2.433	  -0.010
   2.425	  -0.010
   2.418	  -0.010
   2.410	  -0.010
   2.402	  -0.011
   2.394	  -0.011
   2.386	  -0.011
   2.378	  -0.012
   2.371	  -0.012
   2.363	  -0.012
   2.355	  -0.012
   2.347	  -0.012
   2.339	  -0.012
   2.331	  -0.012
   2.324	  -0.011
   2.316	  -0.011
   2.308	  -0.010
   2.300	  -0.010
   2.292	  -0.009
   2.284	  -0.009
   2.277	  -0.008
   2.269	  -0.007
   2.261	  -0.006
   2.253	  -0.005
   2.245	  -0.003
   2.238	  -0.002
   2.230	  -0.001
   2.222	   0.000
   2.214	   0.002
   2.206	   0.002
   2.198	   0.003
   2.191	   0.004
   2.183	   0.005
   2.175	   0.006
   2.167	   0.006
   2.159	   0.007
   2.151	   0.007
   2.144	   0.008
   2.136	   0.009
   2.128	   0.009
   2.120	   0.010
   2.112	   0.010
   2.105	   0.010
   2.097	   0.010
   2.089	   0.010
   2.081	   0.011
   2.073	   0.011
   2.065	   0.011
   2.058	   0.011
   2.050	   0.011
   2.042	   0.011
   2.034	   0.012
   2.026	   0.012
   2.018	   0.013
   2.011	   0.014
   2.003	   0.014
   1.995	   0.015
   1.987	   0.016
   1.979	   0.017
   1.971	   0.017
   1.964	   0.018
   1.956	   0.019
   1.948	   0.020
   1.940	   0.021
   1.932	   0.022
   1.925	   0.023
   1.917	   0.025
   1.909	   0.026
   1.901	   0.027
   1.893	   0.028
   1.885	   0.029
   1.878	   0.030
   1.870	   0.031
   1.862	   0.032
   1.854	   0.033
   1.846	   0.034
   1.838	   0.035
   1.831	   0.036
   1.823	   0.037
   1.815	   0.039
   1.807	   0.040
   1.799	   0.042
   1.792	   0.044
   1.784	   0.046
   1.776	   0.048
   1.768	   0.050
   1.760	   0.052
   1.753	   0.054
   1.745	   0.056
   1.737	   0.058
   1.729	   0.060
   1.721	   0.062
   1.713	   0.065
   1.706	   0.067
   1.698	   0.070
   1.690	   0.072
   1.682	   0.074
   1.674	   0.077
   1.667	   0.079
   1.659	   0.080
   1.651	   0.082
   1.643	   0.083
   1.635	   0.084
   1.628	   0.086
   1.620	   0.087
   1.612	   0.088
   1.604	   0.090
   1.596	   0.091
   1.588	   0.093
   1.581	   0.095
   1.573	   0.097
   1.565	   0.099
   1.557	   0.101
   1.549	   0.104
   1.542	   0.106
   1.534	   0.109
   1.526	   0.113
   1.518	   0.116
   1.510	   0.120
   1.503	   0.125
   1.495	   0.129
   1.487	   0.134
   1.479	   0.140
   1.471	   0.146
   1.464	   0.151
   1.456	   0.158
   1.448	   0.164
   1.440	   0.171
   1.433	   0.178
   1.425	   0.185
   1.417	   0.192
   1.409	   0.199
   1.402	   0.207
   1.394	   0.215
   1.386	   0.223
   1.378	   0.231
   1.371	   0.239
   1.363	   0.248
   1.355	   0.257
   1.347	   0.266
   1.340	   0.275
   1.332	   0.284
   1.324	   0.294
   1.316	   0.303
   1.309	   0.313
   1.301	   0.323
   1.293	   0.333
   1.285	   0.343
   1.278	   0.353
   1.270	   0.363
   1.262	   0.374
   1.254	   0.384
   1.247	   0.394
   1.239	   0.405
   1.231	   0.415
   1.224	   0.425
   1.216	   0.435
   1.208	   0.445
   1.200	   0.455
   1.193	   0.465
   1.185	   0.474
   1.177	   0.484
   1.169	   0.494
   1.162	   0.503
   1.154	   0.513
   1.146	   0.522
   1.138	   0.532
   1.131	   0.542
   1.123	   0.551
   1.115	   0.561
   1.107	   0.571
   1.100	   0.581
   1.092	   0.592
   1.084	   0.602
   1.076	   0.613
   1.069	   0.624
   1.061	   0.635
   1.053	   0.646
   1.046	   0.658
   1.038	   0.670
   1.030	   0.682
   1.022	   0.695
   1.015	   0.707
   1.007	   0.720
   0.999	   0.733
   0.992	   0.747
   0.984	   0.760
   0.976	   0.774
   0.969	   0.788
   0.961	   0.802
   0.953	   0.816
   0.945	   0.830
   0.938	   0.845
   0.930	   0.860
   0.922	   0.875
   0.915	   0.890
   0.907	   0.905
   0.899	   0.921
   0.892	   0.937
   0.884	   0.954
   0.876	   0.971
   0.869	   0.989
   0.861	   1.007
   0.853	   1.025
   0.846	   1.044
   0.838	   1.064
   0.830	   1.085
   0.823	   1.106
   0.815	   1.127
   0.807	   1.150
   0.800	   1.173
   0.792	   1.197
   0.785	   1.221
   0.777	   1.246
   0.769	   1.272
   0.762	   1.298
   0.754	   1.325
   0.747	   1.352
   0.739	   1.380
   0.732	   1.408
   0.724	   1.436
   0.716	   1.465
   0.709	   1.494
   0.701	   1.523
   0.694	   1.553
   0.686	   1.582
   0.679	   1.613
   0.671	   1.643
   0.664	   1.673
   0.656	   1.703
   0.649	   1.733
   0.641	   1.764
   0.633	   1.794
   0.626	   1.825
   0.618	   1.856
   0.611	   1.886
   0.603	   1.917
   0.596	   1.948
   0.588	   1.980
   0.581	   2.011
   0.573	   2.043
   0.566	   2.075
   0.558	   2.107
   0.551	   2.139
   0.543	   2.172
   0.536	   2.204
   0.528	   2.237
   0.521	   2.269
   0.513	   2.302
   0.505	   2.336
   0.498	   2.369
   0.490	   2.403
   0.483	   2.437
   0.475	   2.471
   0.468	   2.505
   0.460	   2.540
   0.453	   2.574
   0.445	   2.609
   0.438	   2.644
   0.430	   2.679
   0.423	   2.713
   0.415	   2.748
   0.408	   2.783
   0.400	   2.818
   0.393	   2.854
   0.385	   2.889
   0.378	   2.925
   0.370	   2.961
   0.363	   2.997
   0.355	   3.033
   0.348	   3.069
   0.340	   3.106
   0.333	   3.143
   0.326	   3.179
   0.318	   3.216
   0.311	   3.254
   0.303	   3.291
   0.296	   3.329
   0.288	   3.368
   0.281	   3.406
   0.273	   3.445
   0.266	   3.484
   0.258	   3.524
   0.251	   3.563
   0.243	   3.603
   0.236	   3.644
   0.228	   3.684
   0.221	   3.725
   0.214	   3.767
   0.206	   3.809
   0.199	   3.850
   0.191	   3.892
   0.184	   3.935
   0.176	   3.977
   0.169	   4.020
   0.162	   4.063
   0.154	   4.106
   0.147	   4.149
   0.139	   4.192
   0.132	   4.235
   0.124	   4.279
   0.117	   4.323
   0.110	   4.366
   0.102	   4.410
   0.095	   4.455
